004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,1146,79,97,393,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1443,80,85,106,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54
007Mm,8/6pk/7p/p1p4P/P2p2R1/1P3q1K/2P3R1/8 w - - 11 58,g2g3 f3h1,1305,85,88,58,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/6wQhCffQ#115
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,18,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2,727,100,83,80,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AKiNfVd0#39
00GRa,1r3rk1/2p1Nppb/p2nq3/1p2p1Pp/4Qn1P/2P1N3/PPB2P1K/3R2R1 b - - 5 28,e6e7 e4h7,909,104,90,236,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QiJhfG8J/black#56
00H1C,r3r3/1kpRnqpp/p4p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 b - - 0 22,e7c6 a5c7,1496,84,79,284,mate mateIn1 middlegame oneMove,https://lichess.org/GzcjOw0p/black#44
00Hxb,1rbr1k2/p4ppp/2B5/2pR1NP1/2P5/P7/7P/4R1K1 b - - 0 27,d8d5 e1e8,1259,79,92,1047,endgame mate mateIn1 oneMove,https://lichess.org/FW9LwaHK/black#54
00IPp,4Q3/6pk/p3p2p/5p2/1p1P2P1/4q2P/2B1n2B/7K w - - 0 35,g4f5 e3f3,1687,83,88,765,endgame mate mateIn1 oneMove,https://lichess.org/JKNcTJw1#69
00IaZ,4R3/1k2R3/3K2p1/1P6/1P6/2rp3r/8/8 b - - 3 45,b7b6 e8b8,940,77,100,225,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/MA0bo8dV/black#90
